#Sourcename     n2hp_max    n2hp_num   hnc_max   hnc_num    hcop_max   hcop_num   hcn_max   hcn_num
G000.253+00.016    60.664    100    57.1994    100    55.468    100    62.3538    100
G000.314-00.100    25.4395    94    26.8654    100    25.8916    100    33.5035    100
G000.414+00.045    45.3832    99    62.8845    100    52.0334    100    59.9547    100
G000.479-00.005    41.4691    100    73.2864    100    55.1708    100    60.6898    100
G000.645+00.027    27.459    100    43.3928    100    49.1082    100    47.6196    100
G003.033+00.405    5.80832    7    6.48365    11    9.4197    74    7.44402    39
G003.089+00.164    3.48309    0    5.66938    3    11.1074    28    17.2957    72
G003.309-00.399    17.9662    78    10.646    34    8.95042    32    7.52877    37
G003.415-00.354    13.9516    61    12.9125    79    14.7707    90    8.79623    21
G003.436-00.572    10.1582    50    8.0494    18    5.93957    3    6.20887    8
G004.086+00.021    7.01334    12    7.02963    22    6.05479    6    6.2109    5
G004.434+00.129    18.0247    72    10.2139    55    10.5557    39    7.07901    14
G004.493-00.783    3.53247    0    1.80224    0    4.05297    0    3.90568    0
G004.719+00.001    4.87348    0    4.76116    0    4.52398    0    3.6757    0
G005.357+00.015    7.57829    14    8.82275    28    9.51562    27    8.02634    43
G005.831-00.512    16.7223    85    12.4623    89    23.9287    100    13.2997    92
G006.494-00.432    7.02365    10    6.21559    4    15.6594    89    9.92875    85
G007.237-00.103    10.8612    32    5.79863    3    7.74895    49    6.47507    4
G007.993-00.269    20.6851    42    11.6062    68    17.2333    87    16.6418    100
G008.018-00.174    10.4016    17    8.42418    34    14.3755    74    12.6406    73
G008.049-00.244    8.87938    20    7.73871    29    12.1753    71    12.5856    44
G008.408-00.349    16.1324    61    7.29072    52    13.4884    96    12.5411    100
G008.671-00.357    59.2172    100    31.8756    100    41.4852    100    22.6555    100
G008.690-00.402    18.8415    100    16.249    100    23.1371    100    16.4191    100
G008.712-00.367    15.375    99    12.8013    97    19.2956    100    13.916    100
G008.725-00.401    18.0741    99    12.8695    92    22.6484    100    16.2475    100
G008.737-00.364    28.1779    94    17.7886    92    21.4379    100    14.7933    96
G009.576-00.656    8.16046    17    5.8022    4    8.76164    27    4.85263    0
G010.150-00.406    16.3076    73    12.3073    84    12.1079    88    9.81647    80
G010.214-00.306    31.2399    93    15.5313    91    17.3262    100    11.3634    98
G010.284-00.119    26.0774    98    11.0612    86    13.4147    69    11.3277    93
G010.286-00.125    50.892    98    19.6722    90    23.9977    97    20.1515    100
G010.402-00.202    20.5523    95    10.6882    85    11.6457    91    10.0249    95
G010.742-00.126    14.3405    50    5.08636    2    8.29031    37    5.33288    1
G010.990-00.083    19.3131    87    10.0469    61    9.34132    46    8.94229    34
G011.070-00.098    11.9392    75    9.43408    33    8.89884    27    4.3296    0
G011.112-00.399    29.8667    99    12.9087    83    16.1223    100    10.9682    77
G011.117-00.127    13.386    91    8.20811    26    10.0509    50    7.06065    6
G011.129-00.128    20.5518    95    10.3279    71    8.46336    13    7.79398    8
G011.301-00.060    7.77947    21    4.62985    0    3.70862    0    3.01811    0
G300.163-00.089    7.92615    9    9.95614    14    15.0715    61    15.0625    56
G300.216-00.110    6.9265    11    9.793    26    22.0731    65    17.4081    69
