Source_Name	V_hand
G000.253+00.016	40.30
G000.314-00.100	87.27
G000.414+00.045	25.56
G000.479-00.005	36.46
G000.645+00.027	61.85
G003.033+00.405	27.36
G003.089+00.164	30
G003.309-00.399	6.06
G003.415-00.354	-25.58
G003.436-00.572	2.46
G004.086+00.021	5.24
G004.434+00.129	2.95
G004.493-00.783	0
G004.719+00.001	10.16
G005.357+00.015	12.50
G005.831-00.512	16.36
G006.494-00.432	17.58
G007.237-00.103	18.88
G007.993-00.269	39.72
G008.018-00.174	40.97
G008.049-00.244	39.71
G008.408-00.349	37.48
G008.671-00.357	34.85
G008.690-00.402	38.78
G008.712-00.367	37.71
G008.725-00.401	39.16
G008.737-00.364	38.97
G009.576-00.656	26.32
G010.150-00.406	8.54
G010.214-00.306	11.24
G010.284-00.119	13.46
G010.286-00.125	13.52
G010.402-00.202	11.59
G010.742-00.126	29.03
G010.990-00.083	29.32
G011.070-00.098	29.34
G011.112-00.399	-1.08
G011.117-00.127	30.3
G011.129-00.128	29.88
G011.301-00.060	31.53
G300.163-00.089	-39.42
G300.216-00.110	-40.14
G300.324-00.197	-37.61
G300.381-00.285	31.20
G300.405+00.545	-35.40
G300.453-00.192	26.90
G300.504-00.175	8.56
G300.747+00.096	-36.77
G300.909+00.882	-41.26
G300.920+00.902	-41.19
G300.953+00.892	-40.31
G301.114+00.958	-40.70
G301.116+00.975	-40.95
G301.121+00.960	-40.59
G301.123+00.982	-40.94
G301.474-00.224	-26.16
G301.592-00.285	-34.10
G301.639-00.238	-37.60
G301.661-00.248	-37.72
G301.678+00.248	-38.09
G301.750+00.268	-37.25
G301.815+00.779	-37.34
G302.022+00.251	-45.89
G302.032-00.061	30.6
G302.034+00.624	-44.47
G302.149-00.950	31.59
G302.390+00.280	-43.45
G302.441-00.118	-35.10
G302.454-00.741	33.47
G302.486-00.030	-36.43
G302.491-00.766	30.85
G303.117-00.972	25.76
G303.483-00.460	24.77
G303.537-00.597	19.61
G303.930-00.688	30.16
G304.021+00.292	-43.07
G304.088+00.420	-41.89
G304.365-00.336	36.51
G304.467-00.005	-19.53
G304.555+00.327	-42.76
G304.663-00.964	26.70
G304.794+00.580	-26.67
G304.885+00.634	-36.43
G304.920+00.521	-33.09
G304.930+00.546	-35.37
G307.544-00.580	-36.13
G307.560-00.587	-33.33
G307.615-00.258	-36.97
G307.755+00.354	-44.59
G307.805-00.456	-13.55
G308.056-00.397	-13.05
G308.121-00.337	-47.14
G308.400-00.175	-24.78
G308.645+00.648	-46.88
G308.653-00.506	-3.11
G308.688+00.529	-46.46
G308.693+00.529	-46.28
G308.754+00.549	-47.49
G308.916+00.124	-50.55
G309.154-00.349	-41.17
G309.235-00.458	-41.20
G309.382-00.134	-50.57
G309.422-00.622	-42.64
G309.533-00.739	-52.63
G309.890+00.397	-57.13
G309.903+00.230	-61.24
G309.910+00.326	-59.76
G309.920+00.478	-57.94
G309.968+00.298	-58.81
G309.978+00.546	-41.26
G310.014+00.390	-41.32
G310.077-00.230	-52.60
G310.143+00.759	-55.42
G310.373-00.303	-52.49
G310.878+00.005	-58.16
G310.880+00.005	-58.26
G310.905-00.382	28.04
G311.044+00.687	-50.64
G311.178-00.071	-38.88
G311.481+00.361	-59.61
G311.491+00.402	-59.04
G311.511-00.455	-50.38
G311.556+00.331	-49.48
G311.627+00.265	-57.03
G311.627+00.290	-60.7
G311.642-00.379	34.70
G311.899+00.083	-51.27
G311.924+00.222	-49.56
G311.947+00.141	-41.72
G312.070+00.081	-43.90
G312.093+00.073	-43.19
G312.108+00.308	-48.69
G312.410-01.050	-43.10
G312.596+00.045	-63.20
G313.458+00.191	-4.15
G313.576+00.325	-46.21
G313.706-00.191	-42.21
G313.746-00.859	-51.39
G313.766-00.864	-50.75
G314.194+00.269	-34.4
G314.219+00.272	-60.54
G314.264+00.091	-51.88
G314.294+00.111	-51.92
G314.319+00.111	-49.21
G316.085-00.674	-38.98
G316.140-00.504	-60.87
G316.360-00.363	-0.94
G316.412-00.308	-3.69
G316.447-00.656	-43.45
G316.586-00.811	-45.33
G316.640-00.088	-18.97
G316.700-00.025	-39.88
G316.717+00.073	-38.70
G316.769-00.025	-39.16
G316.779-00.098	-37.66
G316.798-00.058	-39.43
G316.959+00.302	-40.78
G317.408+00.110	-40.27
G317.428-00.562	27.26
G317.465-00.404	-43.21
G317.701+00.110	-42.81
G317.868-00.152	-40.39
G317.888-00.060	17.90
G317.888-00.252	-36.63
G317.949+00.085	-41.10
G318.050+00.087	-50.17
G318.725-00.224	-50.00
G318.777-00.154	-37.28
G318.779-00.139	-37.24
G318.916-00.164	-21.21
G318.948-00.196	-34.40
G319.162-00.422	-20.56
G319.398-00.012	-12.05
G319.872+00.788	-41.95
G319.901+00.792	-43.22
G320.063-00.290	-10.60
G320.063-00.549	-6.77
G320.102-00.302	-67.60
G320.126-00.507	-9.03
G320.162+00.910	-42.40
G320.169+00.824	-39.83
G320.201+00.858	-41.30
G320.235+00.087	-10.00
G320.244-00.294	-66.57
G320.244-00.561	-51.94
G320.247+00.403	-32.89
G320.285-00.309	-65.61
G320.319-00.176	-9.04
G320.331-00.307	-65.89
G320.339-00.163	-5.88
G320.348-00.223	-6.50
G320.382+00.178	-3.04
G320.423+00.089	-5.75
G320.428+00.101	-5.80
G320.594-00.195	-52.62
G320.676+00.242	-60.98
G320.679-00.402	-66.65
G320.780+00.244	-7.18
G320.881-00.397	-45.04
G320.891-00.412	-44.48
G321.030-00.483	-60.49
G321.054-00.508	-59.75
G321.148-00.530	-62.78
G321.380-00.300	-57.40
G321.670-00.007	-32.55
G321.756+00.029	-32.29
G321.880+00.617	-26.80
G321.904-00.015	-31.83
G321.935-00.007	-32.55
G322.520+00.637	-55.45
G330.027+01.041	-48.44
G330.295-00.396	-80.81
G330.673-00.375	-66.39
G330.677-00.403	-63.97
G330.986+00.329	-56.36
G331.035-00.418	-64.63
G331.133+00.157	-77.25
G331.133-00.525	-67.59
G331.134-00.484	-68.29
G331.161-00.463	-68.89
G331.186-00.462	-71.3
G331.206-00.277	-47.21
G331.220+00.013	-88.12
G331.273-00.375	-65.31
G331.282-00.189	-88.72
G331.324+00.096	-45.52
G331.331+00.181	-44.80
G331.352-00.019	-78.45
G331.370-00.116	-88.05
G331.374-00.314	-97.11
G331.377+00.150	-46.16
G331.421-00.357	-63.38
G331.490-00.113	-88.16
G331.542-00.304	-97.29
G331.550-00.073	-88.48
G331.625+00.527	-51.53
G331.638+00.501	-52.39
G331.708+00.583	-67.70
G331.709+00.602	-67.55
G331.796-00.098	-2.75
G331.884+00.061	-87.78
G332.000-00.152	-50.84
G332.094-00.421	-56.70
G332.151-00.447	-54.33
G332.187-00.050	-47.78
G332.204+00.620	-38.47
G332.225-00.535	-52.36
G332.240-00.043	-48.34
G332.277-00.072	-48.79
G332.278-00.546	-52.87
G332.294-00.094	-49.24
G332.317-00.558	-53.57
G332.347-00.433	-48.37
G332.412-00.498	-54.12
G332.469-00.131	-50.29
G332.469-00.523	-51.36
G332.524-00.628	-50.36
G332.604-00.168	-46.90
G332.645-00.608	-49.63
G332.656+00.209	-47.48
G332.678-00.615	-58.23
G332.716-00.675	-47.71
G332.740-00.620	-50.06
G332.769-00.585	-55.91
G332.817-00.701	-53.60
G332.826-00.549	-57.05
G332.835+00.738	-48.01
G332.944-00.685	-49.06
G332.959+00.775	-45.29
G332.963-00.678	-49.28
G332.986-00.492	-53.76
G333.000-00.437	-54.79
G333.012-00.468	-54.35
G333.016-00.752	-55.65
G333.052+00.030	-44.71
G333.072-00.400	-53.58
G333.130-00.563	-58.53
G333.131-00.432	-52.40
G333.163-00.098	-90.47
G333.171-00.431	-51.19
G333.182-00.396	-50.36
G333.185-00.092	-86.11
G333.199-00.355	-49.82
G333.234-00.062	-87.05
G333.292-00.424	-50.55
G333.295-00.352	-50.49
G333.313-00.370	-50.68
G333.314+00.105	-46.39
G333.388+00.031	-70.27
G333.449-00.183	-45.60
G333.466-00.165	-45.03
G333.471-00.483	-54.47
G333.480-00.225	-49.51
G333.498-00.115	-47.99
G333.505-00.102	-45.35
G333.518+00.056	-40.14
G333.522-00.270	-49.91
G333.536-00.246	-48.72
G333.642-00.108	-89.44
G333.658+00.059	-84.36
G333.677-00.437	-4.87
G333.759+00.363	-33.94
G334.043+00.350	-57.71
G334.198-00.202	-48.13
G334.699+00.019	-85.87
