# MALT90 Year 2 catalog from dstncs201.dat Sun Dec 11 17:56:52 2011 velocat=/mako4/d/scott/velo/socat211-rev.dat  Reid rotation model
#source          type     londeg     latdeg    vbest     vrms vcode  kdnear   kdfar   derrp   derrm   probn   probf  dcode comment
 G000.013-00.019    0   0.014345  -0.022336   107.07    30.63     6   8.496   8.504   0.001   0.002  -1.000  -1.000      0 multiple-wide-components
 G000.053-00.209    0   0.053825  -0.208718    14.67     0.19    30   8.372   8.628   0.032   0.065  -1.000  -1.000      0 OK
 G000.090-00.664    0   0.090970  -0.662944    17.69     0.08    30   8.322   8.678   0.039   0.068  -1.000  -1.000      0 OK
 G000.110+00.148    0   0.110247   0.149323    95.27     3.89    30   8.463   8.537   0.003   0.003  -1.000  -1.000      0 wide
 G000.420-00.178    0   0.420063  -0.177258    17.17     1.30    18   7.716   9.284   0.169   0.295  -1.000  -1.000      0 wide
 G000.483-00.709    0   0.483148  -0.708052    13.41     1.00    30   7.393   9.606   0.276   0.547  -1.000  -1.000      0 OK
 G000.487-00.682    0   0.487900  -0.681698    14.33     0.51    30   7.447   9.553   0.248   0.468  -1.000  -1.000      0 OK
 G000.525+00.181    0   0.526110   0.181883    -1.59     0.76    14  33.333  33.333  32.823  38.045  -1.000  -1.000      1 OK
 G000.633+00.601    0   0.633208   0.601359    -1.25     0.21    30  24.270  24.270  19.262  24.270  -1.000  -1.000      1 OK
 G000.766-00.248    0   0.767042  -0.247610   -48.20     0.50    30   0.000   0.000   0.000   0.000  -1.000  -1.000      4 strong-abs;multiple-pks
 G000.770-00.190    0   0.771033  -0.189329    26.90    31.10    30   7.600   9.399   0.471   7.600  -1.000  -1.000      0 multiple-wide-cmpnts
 G000.832-00.201    0   0.833011  -0.200260    56.56    44.46    14   8.023   8.975   0.223   1.446  -1.000  -1.000      0 multiple-wide-cmpnts
 G000.836+00.183    0   0.836091   0.183588     6.03     0.70    30   5.401  11.597   1.073   3.471  -1.000  -1.000      0 OK
 G001.226+00.059    0   1.226676   0.059484   108.87     9.81    12   8.163   8.833   0.039   0.046  -1.000  -1.000      0 huge-wide-pk
 G001.336+00.103    0   1.336376   0.103505    82.13    11.74    14   7.996   9.000   0.075   0.098  -1.000  -1.000      0 wide-pk
 G001.599+00.015    0   1.599800   0.015774    67.00     2.00    30   7.765   9.228   0.055   0.063  -1.000  -1.000      0 wide-pks;2nd-pk-40.0
 G001.694-00.385    0   1.694847  -0.384622   -24.30     1.00    14   0.000   0.000   0.000   0.000  -1.000  -1.000      4 wide;2nd-pk--56.
 G001.734-00.410    0   1.734779  -0.408843   -36.48     7.25    30   0.000   0.000   0.000   0.000  -1.000  -1.000      4 wide-multiple-pks
 G002.163-00.107    0   2.163333  -0.105931   136.30     1.50    12   8.076   8.912   0.023   0.024  -1.000  -1.000      0 wide
 G003.033+00.405    0   3.032362   0.407032    16.00     1.00     1   4.784  12.193   0.566   0.808  -1.000  -1.000      0 weak
 G004.135-00.020    0   4.136153  -0.019655     6.23     0.89    14   2.320  14.635   1.099   1.696  -1.000  -1.000      0 OK
 G004.503+00.418    0   4.503775   0.419128    13.71     0.13    30   3.642  13.305   0.654   0.888  -1.000  -1.000      0 OK
 G004.516-00.803    0   4.517124  -0.799827   186.62     1.09    12   8.077   8.870   0.038   0.038  -1.000  -1.000      0 OK
 G004.627-00.665    0   4.627795  -0.666955     9.42     0.66    30   2.850  14.095   0.848   1.203  -1.000  -1.000      0 OK
 G004.680+00.277    0   4.680364   0.277830     3.84     1.12    14   1.476  15.467   1.262  15.950  -1.000  -1.000      0 OK
 G004.685+00.005    0   4.685121   0.005176    10.00     1.00    10   2.939  14.004   0.823   1.160  -1.000  -1.000      0 ratty
 G004.709-00.438    0   4.709031  -0.437490     5.43     0.31    30   1.914  15.029   1.098   1.636  -1.000  -1.000      0 OK
 G004.747-00.067    0   4.747179  -0.066508    14.15     1.00    12   3.601  13.340   0.646   0.871  -1.000  -1.000      0 bad-n2hp-fit
 G004.748-00.763    0   4.748230  -0.762416   211.66     3.02    12   8.293   8.649   0.100   0.065  -1.000  -1.000      0 wide
 G004.763+00.088    0   4.763723   0.088021    13.33     0.32    30   3.472  13.469   0.666   0.898  -1.000  -1.000      0 OK
 G004.788+00.057    0   4.788324   0.057376    13.60     0.08    30   3.503  13.438   0.654   0.879  -1.000  -1.000      0 OK
 G004.804-00.159    0   4.804967  -0.158226    11.07     0.90     6   3.086  13.854   0.765   1.059  -1.000  -1.000      0 OK
 G004.827+00.231    0   4.827417   0.231665    14.02     0.96    30   3.549  13.391   0.649   0.872  -1.000  -1.000      0 OK
 G004.885-00.172    0   4.885658  -0.171754     9.97     0.30    14   2.857  14.082   0.804   1.116  -1.000  -1.000      0 bad-n2hp-fit
 G005.355+00.097    0   5.355435   0.097122    11.66     0.21    30   2.982  13.943   0.715   0.956  -1.000  -1.000      0 OK
 G005.615-00.092    0   5.615560  -0.091673   -26.61     0.21    14   0.000   0.000 104.626   0.000  -1.000  -1.000      4 OK
 G005.637+00.238    0   5.637780   0.238911     8.99     0.58    30   2.424  14.494   0.820   1.115  -1.000  -1.000      0 OK
 G005.884-00.392    0   5.884828  -0.391418     8.94     0.43    30   2.344  14.566   0.808   1.088  -1.000  -1.000      0 OK
 G005.884-00.393    0   5.885212  -0.392270     8.87     0.45    30   2.331  14.579   0.812   1.093  -1.000  -1.000      0 OK
 G005.893-00.320    0   5.893545  -0.319138    10.48     0.20    30   2.614  14.296   0.742   0.984  -1.000  -1.000      0 OK
 G005.899-00.428    0   5.899767  -0.427723     6.62     0.46    30   1.881  15.029   0.921   1.267  -1.000  -1.000      0 OK
 G005.912-00.949    0   5.912267  -0.948536    13.71     0.37    22   3.109  13.801   0.632   0.817  -1.000  -1.000      0 OK
 G006.188-00.118    0   6.188937  -0.116919    11.10     1.25    12   2.632  14.269   0.727   0.958  -1.000  -1.000      0 OK
 G006.188-00.358    0   6.185691  -0.356195   -33.56     0.41    30   0.000   0.000   0.000   0.000  -1.000  -1.000      4 OK
 G006.216-00.609    0   6.216860  -0.608943    18.28     0.59    30   3.590  13.310   0.513   0.641  -1.000  -1.000      0 OK
 G006.498-00.323    0   6.498410  -0.322653     0.30     5.12    22   0.195  16.696   1.721  19.412  -1.000  -1.000      0 wide
 G006.547-00.288    0   6.547404  -0.287323     6.91     0.32    14   1.800  15.089   0.862   1.151  -1.000  -1.000      0 OK
 G006.551-00.097    0   6.551262  -0.096646    13.50     1.00    14   2.889  14.000   0.633   0.809  -1.000  -1.000      0 bad-n2hp-fit
 G006.565-00.318    0   6.565119  -0.317785     6.91     1.62    30   1.796  15.092   0.898   1.216  -1.000  -1.000      0 wide
 G006.796-00.256    0   6.796636  -0.255596    21.84     0.12    30   3.784  13.096   0.440   0.535  -1.000  -1.000      0 strong-abs
 G007.166+00.132    0   7.165974   0.132680    80.71     0.22    30   6.409  10.458   0.112   0.121  -1.000  -1.000      0 OK
 G007.276-00.531    0   7.276782  -0.530696    18.78     0.31    30   3.338  13.525   0.491   0.599  -1.000  -1.000      0 OK
 G007.333-00.567    0   7.334061  -0.566576    20.58     0.15    30   3.509  13.351   0.458   0.554  -1.000  -1.000      0 OK
 G007.462-00.285    0   7.462452  -0.284524    26.70     0.64    30   4.025  12.831   0.375   0.443  -1.000  -1.000      0 OK
 G007.471+00.061    0   7.471549   0.061599   -13.98    -0.50     2  23.502  23.502   3.387   6.111  -1.000  -1.000      1 weak
